id,Date,vdc,scantime,starttime
9327015,"2022-05-18 00:35:15",408.126,2993507.156,"2022-04-13 08:56:11"
9327016,"2022-05-18 00:35:26",408.07,2993515.157,"2022-04-13 08:56:11"
9327017,"2022-05-18 00:35:36",408.089,2993527.157,"2022-04-13 08:56:11"
9327018,"2022-05-18 00:35:46",408.115,2993539.159,"2022-04-13 08:56:11"
9327019,"2022-05-18 00:35:56",408.14,2993547.157,"2022-04-13 08:56:11"
9327020,"2022-05-18 00:36:06",408.058,2993557.157,"2022-04-13 08:56:11"
9327021,"2022-05-18 00:36:16",408.11,2993569.158,"2022-04-13 08:56:11"
9327022,"2022-05-18 00:36:26",408.099,2993579.157,"2022-04-13 08:56:11"
9327023,"2022-05-18 00:36:36",408.015,2993587.157,"2022-04-13 08:56:11"
9327024,"2022-05-18 00:36:46",408.103,2993597.157,"2022-04-13 08:56:11"
9327025,"2022-05-18 00:36:56",408.052,2993609.158,"2022-04-13 08:56:11"
9327026,"2022-05-18 00:37:06",408.089,2993617.157,"2022-04-13 08:56:11"
9327027,"2022-05-18 00:37:16",407.997,2993629.157,"2022-04-13 08:56:11"
9327028,"2022-05-18 00:37:26",408.105,2993639.158,"2022-04-13 08:56:11"
9327029,"2022-05-18 00:37:36",408.123,2993647.157,"2022-04-13 08:56:11"
9327030,"2022-05-18 00:37:46",408.016,2993659.157,"2022-04-13 08:56:11"
9327031,"2022-05-18 00:37:56",408.053,2993669.158,"2022-04-13 08:56:11"
9327032,"2022-05-18 00:38:06",408.083,2993677.157,"2022-04-13 08:56:11"
9327033,"2022-05-18 00:38:16",408.11,2993689.157,"2022-04-13 08:56:11"
9327034,"2022-05-18 00:38:26",408.071,2993699.159,"2022-04-13 08:56:11"
9327035,"2022-05-18 00:38:37",408.054,2993707.157,"2022-04-13 08:56:11"
9327036,"2022-05-18 00:38:47",408.079,2993719.157,"2022-04-13 08:56:11"
9327037,"2022-05-18 00:38:56",408.048,2993729.156,"2022-04-13 08:56:11"
9327038,"2022-05-18 00:39:07",408.127,2993737.157,"2022-04-13 08:56:11"
9327039,"2022-05-18 00:39:17",408.095,2993749.157,"2022-04-13 08:56:11"
9327040,"2022-05-18 00:39:27",408.043,2993759.158,"2022-04-13 08:56:11"
9327041,"2022-05-18 00:39:37",408.128,2993767.157,"2022-04-13 08:56:11"
9327042,"2022-05-18 00:39:47",408.104,2993779.159,"2022-04-13 08:56:11"
9327043,"2022-05-18 00:39:57",408.106,2993789.157,"2022-04-13 08:56:11"
9327044,"2022-05-18 00:40:07",407.998,2993797.157,"2022-04-13 08:56:11"
9327045,"2022-05-18 00:40:17",408.136,2993809.157,"2022-04-13 08:56:11"
9327046,"2022-05-18 00:40:27",408.124,2993819.157,"2022-04-13 08:56:11"
9327047,"2022-05-18 00:40:38",408.008,2993829.157,"2022-04-13 08:56:11"
9327048,"2022-05-18 00:40:48",408.16,2993839.157,"2022-04-13 08:56:11"
9327049,"2022-05-18 00:40:58",408.073,2993849.157,"2022-04-13 08:56:11"
9327050,"2022-05-18 00:41:07",408.145,2993857.157,"2022-04-13 08:56:11"
9327051,"2022-05-18 00:41:18",408.074,2993869.157,"2022-04-13 08:56:11"
9327052,"2022-05-18 00:41:28",408.087,2993881.158,"2022-04-13 08:56:11"
9327053,"2022-05-18 00:41:38",408.034,2993891.16,"2022-04-13 08:56:11"
9327054,"2022-05-18 00:41:48",408.046,2993899.157,"2022-04-13 08:56:11"
9327055,"2022-05-18 00:41:58",408.12,2993909.157,"2022-04-13 08:56:11"
9327056,"2022-05-18 00:42:07",408.127,2993917.157,"2022-04-13 08:56:11"
9327057,"2022-05-18 00:42:18",408.046,2993929.157,"2022-04-13 08:56:11"
9327058,"2022-05-18 00:42:28",408.053,2993941.159,"2022-04-13 08:56:11"
9327059,"2022-05-18 00:42:37",408.137,2993947.157,"2022-04-13 08:56:11"
9327060,"2022-05-18 00:42:48",408.094,2993959.157,"2022-04-13 08:56:11"
9327061,"2022-05-18 00:42:58",408.094,2993971.159,"2022-04-13 08:56:11"
9327062,"2022-05-18 00:43:08",407.917,2993981.158,"2022-04-13 08:56:11"
9327063,"2022-05-18 00:43:18",408.001,2993989.158,"2022-04-13 08:56:11"
9327064,"2022-05-18 00:43:28",407.973,2993999.157,"2022-04-13 08:56:11"
9327065,"2022-05-18 00:43:38",408.056,2994011.158,"2022-04-13 08:56:11"
9327066,"2022-05-18 00:43:48",408.127,2994019.156,"2022-04-13 08:56:11"
9327067,"2022-05-18 00:43:59",408.149,2994031.157,"2022-04-13 08:56:11"
9327068,"2022-05-18 00:44:08",408.135,2994041.159,"2022-04-13 08:56:11"
9327069,"2022-05-18 00:44:19",408.168,2994049.157,"2022-04-13 08:56:11"
9327070,"2022-05-18 00:44:28",408.026,2994061.159,"2022-04-13 08:56:11"
9327071,"2022-05-18 00:44:39",408.067,2994071.157,"2022-04-13 08:56:11"
9327072,"2022-05-18 00:44:48",408.14,2994079.157,"2022-04-13 08:56:11"
9327073,"2022-05-18 00:44:58",408.09,2994091.159,"2022-04-13 08:56:11"
9327074,"2022-05-18 00:45:08",408.045,2994101.158,"2022-04-13 08:56:11"
9327075,"2022-05-18 00:45:19",408.083,2994109.157,"2022-04-13 08:56:11"
9327076,"2022-05-18 00:45:28",408.12,2994121.16,"2022-04-13 08:56:11"
9327077,"2022-05-18 00:45:39",408.076,2994131.156,"2022-04-13 08:56:11"
9327078,"2022-05-18 00:45:48",408.092,2994139.157,"2022-04-13 08:56:11"
