hour (h);irradiance (W/m^2)
24;0
1;0
2;0
3;0
4;0
5;0
6;2.777777778
7;61.11111111
8;180.5555556
9;366.6666667
10;466.6666667
11;650
12;694.4444444
13;480.5555556
14;472.2222222
15;388.8888889
16;258.3333333
17;125
18;27.77777778
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;8.333333333
7;83.33333333
8;263.8888889
9;441.6666667
10;566.6666667
11;644.4444444
12;683.3333333
13;672.2222222
14;605.5555556
15;491.6666667
16;350
17;188.8888889
18;47.22222222
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;11.11111111
7;119.4444444
8;286.1111111
9;438.8888889
10;561.1111111
11;644.4444444
12;680.5555556
13;663.8888889
14;600
15;491.6666667
16;347.2222222
17;186.1111111
18;41.66666667
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;11.11111111
7;111.1111111
8;266.6666667
9;408.3333333
10;527.7777778
11;425
12;427.7777778
13;211.1111111
14;130.5555556
15;166.6666667
16;158.3333333
17;113.8888889
18;33.33333333
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;2.777777778
7;22.22222222
8;58.33333333
9;91.66666667
10;138.8888889
11;119.4444444
12;100
13;252.7777778
14;236.1111111
15;150
16;111.1111111
17;47.22222222
18;22.22222222
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;11.11111111
7;108.3333333
8;152.7777778
9;130.5555556
10;233.3333333
11;186.1111111
12;305.5555556
13;325
14;363.8888889
15;341.6666667
16;213.8888889
17;169.4444444
18;47.22222222
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;11.11111111
7;97.22222222
8;202.7777778
9;261.1111111
10;388.8888889
11;333.3333333
12;313.8888889
13;441.6666667
14;119.4444444
15;116.6666667
16;47.22222222
17;113.8888889
18;50
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;22.22222222
7;138.8888889
8;297.2222222
9;436.1111111
10;486.1111111
11;405.5555556
12;505.5555556
13;588.8888889
14;586.1111111
15;516.6666667
16;350
17;197.2222222
18;61.11111111
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;25
7;152.7777778
8;325
9;486.1111111
10;611.1111111
11;691.6666667
12;719.4444444
13;702.7777778
14;636.1111111
15;527.7777778
16;383.3333333
17;216.6666667
18;66.66666667
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;13.88888889
7;125
8;308.3333333
9;458.3333333
10;344.4444444
11;569.4444444
12;713.8888889
13;661.1111111
14;611.1111111
15;458.3333333
16;213.8888889
17;97.22222222
18;38.88888889
19;2.777777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;2.777777778
7;30.55555556
8;77.77777778
9;261.1111111
10;150
11;144.4444444
12;102.7777778
13;141.6666667
14;97.22222222
15;63.88888889
16;58.33333333
17;44.44444444
18;25
19;2.777777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;13.88888889
7;88.88888889
8;108.3333333
9;141.6666667
10;311.1111111
11;322.2222222
12;441.6666667
13;475
14;402.7777778
15;258.3333333
16;125
17;66.66666667
18;25
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;8.333333333
7;38.88888889
8;116.6666667
9;238.8888889
10;469.4444444
11;702.7777778
12;733.3333333
13;536.1111111
14;450
15;283.3333333
16;269.4444444
17;219.4444444
18;75
19;2.777777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;16.66666667
7;61.11111111
8;236.1111111
9;505.5555556
10;630.5555556
11;752.7777778
12;750
13;708.3333333
14;647.2222222
15;466.6666667
16;355.5555556
17;166.6666667
18;83.33333333
19;2.777777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;22.22222222
7;111.1111111
8;227.7777778
9;411.1111111
10;450
11;597.2222222
12;680.5555556
13;536.1111111
14;461.1111111
15;386.1111111
16;216.6666667
17;152.7777778
18;69.44444444
19;5.555555556
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;25
7;91.66666667
8;200
9;325
10;388.8888889
11;400
12;338.8888889
13;80.55555556
14;191.6666667
15;247.2222222
16;161.1111111
17;86.11111111
18;25
19;2.777777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;16.66666667
7;61.11111111
8;136.1111111
9;305.5555556
10;350
11;316.6666667
12;358.3333333
13;361.1111111
14;213.8888889
15;408.3333333
16;269.4444444
17;86.11111111
18;30.55555556
19;5.555555556
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;5.555555556
7;30.55555556
8;116.6666667
9;97.22222222
10;163.8888889
11;191.6666667
12;108.3333333
13;75
14;94.44444444
15;86.11111111
16;47.22222222
17;50
18;19.44444444
19;2.777777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;8.333333333
7;41.66666667
8;119.4444444
9;230.5555556
10;222.2222222
11;155.5555556
12;358.3333333
13;463.8888889
14;247.2222222
15;341.6666667
16;219.4444444
17;102.7777778
18;27.77777778
19;2.777777778
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;5.555555556
7;55.55555556
8;86.11111111
9;202.7777778
10;250
11;375
12;500
13;358.3333333
14;422.2222222
15;441.6666667
16;297.2222222
17;197.2222222
18;41.66666667
19;0
20;0
21;0
22;0
23;0
24;0
1;0
2;0
3;0
4;0
5;0
6;11.11111111
7;33.33333333
8;177.7777778
9;238.8888889
10;308.3333333
11;366.6666667
12;433.3333333
13;533.3333333
14;600
